,None,D0,D1,D2,D3,D4
314,0.0,16.41,24.57,16.21,21.76,21.04
315,0.0,16.41,24.57,16.21,21.76,21.04
316,0.0,16.41,24.57,16.21,21.76,21.04
317,0.0,16.41,24.57,16.21,21.76,21.04
318,0.0,16.41,24.57,16.21,21.76,21.04
319,0.0,16.41,24.57,16.21,21.76,21.04
320,4.27,11.82,24.89,16.02,21.95,21.04
321,6.08,10.01,24.89,16.02,21.95,21.04
322,5.5,8.12,25.38,18.01,21.95,21.04
323,5.5,8.12,22.82,20.57,21.95,21.04
324,4.27,6.05,16.96,24.81,26.88,21.04
325,4.27,6.05,15.31,25.21,28.11,21.04
326,4.24,5.67,15.72,25.21,28.11,21.04
327,4.24,5.67,15.72,25.21,28.11,21.04
328,3.55,5.87,16.21,19.11,23.57,31.68
329,3.55,5.87,16.21,19.11,23.57,31.68
330,3.55,5.87,17.76,17.57,20.51,34.74
331,1.16,7.29,18.7,17.54,20.57,34.74
332,0.43,6.29,19.64,18.33,20.57,34.74
333,0.43,2.07,14.33,22.31,22.38,38.48
334,0.43,4.44,12.47,21.8,22.38,38.48
335,0.43,5.19,12.56,20.96,22.38,38.48
336,0.29,5.01,12.87,20.42,22.93,38.48
337,0.22,5.01,12.95,20.42,22.93,38.48
338,0.0,4.74,9.13,22.23,24.49,39.41
339,0.0,4.65,9.22,22.17,23.75,40.21
340,0.0,2.83,11.04,17.98,25.49,42.66
341,0.0,2.67,9.78,18.49,26.4,42.66
342,0.0,2.67,9.78,18.49,24.22,44.84
343,0.0,2.67,9.78,18.49,24.22,44.84
344,0.0,2.67,6.7,21.54,24.24,44.84
345,0.14,2.53,6.7,21.55,24.24,44.84
346,0.14,2.53,5.07,23.17,24.24,44.84
347,0.14,2.53,5.07,21.71,25.71,44.84
348,0.14,2.53,5.07,21.71,25.71,44.84
349,0.14,2.53,5.07,21.71,25.71,44.84
350,0.14,2.53,5.06,21.72,25.71,44.84
351,0.14,2.53,5.06,21.72,25.71,44.84
352,0.14,2.53,5.06,21.2,25.08,46.0
353,0.14,2.53,5.06,21.2,25.08,46.0
354,0.14,2.53,4.97,21.29,25.08,46.0
355,0.14,2.53,4.97,21.29,25.08,46.0
356,0.14,2.53,4.97,21.29,25.08,46.0
357,0.14,2.53,4.97,21.29,25.08,46.0
358,0.14,2.53,4.97,21.29,25.08,46.0
359,0.14,2.51,4.99,21.29,25.08,46.0
360,0.14,2.51,4.99,21.29,25.08,46.0
361,0.14,2.51,4.99,21.29,25.08,46.0
362,0.14,2.51,4.99,21.29,25.08,46.0
363,0.14,2.51,4.99,21.29,25.08,46.0
364,0.14,2.51,2.76,23.51,25.08,46.0
365,0.14,2.51,2.76,23.51,25.08,46.0
366,0.14,2.51,2.76,23.51,25.08,46.0
367,0.14,1.15,4.12,23.51,25.08,46.0
368,0.14,1.15,4.12,23.51,24.35,46.73
369,0.14,1.15,4.12,23.52,24.35,46.73
370,0.14,1.15,4.12,23.52,24.35,46.73
371,0.14,1.15,4.12,23.52,24.35,46.73
372,0.14,1.15,4.81,22.83,24.35,46.73
373,0.14,1.15,4.81,24.3,22.88,46.73
374,0.14,1.15,4.81,27.3,19.87,46.73
375,0.14,1.58,4.37,27.3,19.83,46.77
376,0.14,1.58,4.37,27.3,19.83,46.77
377,0.14,1.58,4.37,27.3,19.83,46.77
378,0.14,1.75,4.67,26.84,19.83,46.77
379,0.14,1.75,4.67,26.84,19.83,46.77
380,0.14,1.75,4.67,26.84,22.28,44.32
381,0.15,1.74,4.67,26.84,22.28,44.32
382,0.15,1.74,4.67,26.84,25.2,41.41
383,0.15,1.74,4.67,26.84,25.2,41.41
384,0.16,1.73,4.67,25.98,27.54,39.92
385,0.16,1.73,4.67,25.98,27.54,39.92
386,0.16,1.75,4.66,25.98,27.54,39.92
387,0.16,1.75,4.66,25.98,27.54,39.92
388,0.16,1.75,4.66,25.98,26.26,41.2
389,0.16,1.75,4.66,25.98,27.47,39.99
390,0.16,1.72,4.56,16.11,37.46,39.99
391,0.0,1.87,3.79,16.82,37.52,39.99
392,0.0,1.87,3.79,16.82,38.37,39.15
393,0.0,1.88,3.78,16.82,38.37,39.15
394,0.0,1.88,3.78,16.39,45.73,32.21
395,0.0,1.88,3.78,16.39,45.73,32.21
396,0.0,1.59,3.98,16.48,45.73,32.21
397,0.0,1.59,3.98,16.48,45.73,32.21
398,0.0,0.28,5.29,14.73,24.61,55.08
399,0.0,0.28,5.29,14.73,24.61,55.08
400,0.0,0.28,5.29,14.73,24.61,55.08
401,0.0,0.28,5.29,14.73,24.61,55.08
402,0.0,0.28,5.29,14.73,24.61,55.08
403,0.0,0.29,5.28,14.73,24.61,55.08
404,0.0,0.0,4.96,13.13,23.51,58.41
405,0.0,0.0,4.96,13.13,23.51,58.41
406,0.0,0.0,4.96,13.13,23.51,58.41
407,0.0,0.0,4.96,13.13,23.51,58.41
408,0.0,0.0,4.96,13.13,23.51,58.41
409,0.0,0.0,4.66,13.42,23.51,58.41
410,0.0,0.0,4.58,13.5,23.51,58.41
411,0.0,0.0,4.58,13.5,23.51,58.41
412,0.0,0.0,4.58,13.5,23.51,58.41
413,0.0,0.0,4.58,13.5,23.51,58.41
414,0.0,0.0,2.41,15.67,23.51,58.41
415,0.0,0.0,0.2,17.88,23.51,58.41
416,0.0,0.0,0.2,17.88,23.51,58.41
417,0.0,0.0,0.0,18.11,23.48,58.41
418,0.0,0.0,0.0,18.11,45.4,36.49
419,0.0,0.0,0.0,18.15,45.35,36.49
420,0.0,0.0,0.0,21.03,42.51,36.46
421,0.0,0.0,0.0,21.03,42.51,36.46
422,0.0,0.0,0.0,23.31,43.7,32.98
423,0.0,0.0,0.0,23.31,43.7,32.98
424,0.0,0.0,0.0,23.31,51.92,24.77
425,0.0,0.0,0.0,23.31,51.92,24.77
426,0.0,0.0,0.0,23.31,51.92,24.77
427,0.0,0.0,0.0,23.31,51.92,24.77
428,0.0,0.0,0.0,23.31,51.92,24.77
429,0.0,0.0,4.07,19.25,51.92,24.77
430,0.0,0.0,3.99,19.32,51.92,24.77
431,0.0,0.0,3.99,19.32,51.92,24.77
432,0.0,0.2,4.59,26.45,45.28,23.49
433,0.0,0.19,4.6,26.45,45.28,23.49
434,0.0,0.19,4.6,26.45,45.28,23.49
435,0.0,0.2,4.59,23.43,48.36,23.42
436,0.01,0.2,6.72,21.3,49.41,22.37
437,0.01,5.44,3.75,24.91,43.53,22.37
438,0.0,5.44,3.73,24.93,43.53,22.37
439,0.0,5.44,3.73,16.99,47.62,26.21
440,0.0,5.45,3.72,22.52,53.68,14.62
441,1.43,4.03,2.95,30.65,51.13,9.81
442,1.43,4.39,4.27,22.78,57.32,9.81
443,1.43,4.39,4.27,22.78,58.36,8.77
444,1.43,4.39,4.27,27.21,62.71,0.0
445,1.43,4.39,4.27,27.21,62.71,0.0
446,1.43,4.32,6.71,59.94,27.59,0.0
447,2.61,3.14,6.71,59.94,27.59,0.0
448,2.61,3.14,9.37,57.29,27.59,0.0
449,2.61,3.14,11.71,54.94,27.59,0.0
450,2.61,3.24,11.62,54.94,27.59,0.0
451,2.61,3.24,11.62,54.94,27.59,0.0
452,2.61,3.24,11.62,54.94,27.59,0.0
453,2.61,1.39,11.87,56.53,27.59,0.0
454,2.61,1.39,11.87,72.77,11.36,0.0
455,2.62,1.39,11.86,72.77,11.36,0.0
456,2.66,1.36,11.86,72.77,11.36,0.0
457,2.66,1.36,11.86,72.77,11.36,0.0
458,2.65,1.4,11.82,72.77,11.36,0.0
459,2.52,1.53,11.83,72.77,11.36,0.0
460,2.63,1.42,11.83,72.77,11.36,0.0
461,2.63,1.34,6.2,78.48,11.36,0.0
462,2.63,1.34,6.2,78.48,11.36,0.0
463,0.0,2.92,4.15,81.58,11.36,0.0
464,0.0,2.92,4.15,81.58,11.36,0.0
465,0.0,1.77,4.37,82.5,11.36,0.0
466,0.0,1.77,4.37,82.5,11.36,0.0
467,0.0,1.77,4.37,82.5,11.36,0.0
468,0.0,1.77,4.37,93.86,0.0,0.0
469,0.0,1.77,4.37,93.86,0.0,0.0
470,0.0,1.77,4.27,93.96,0.0,0.0
471,0.0,1.77,4.27,93.96,0.0,0.0
472,0.0,1.77,5.53,92.7,0.0,0.0
473,0.0,1.77,5.53,92.7,0.0,0.0
474,0.0,1.79,5.6,92.61,0.0,0.0
475,0.0,1.79,31.14,67.07,0.0,0.0
476,0.0,1.84,44.62,53.54,0.0,0.0
477,0.0,1.84,44.52,53.64,0.0,0.0
478,0.0,1.84,51.91,46.25,0.0,0.0
479,0.0,1.84,51.91,46.25,0.0,0.0
480,0.0,1.84,51.91,46.25,0.0,0.0
481,0.0,1.84,51.91,46.25,0.0,0.0
482,0.0,35.7,31.47,32.82,0.0,0.0
483,2.84,33.74,33.42,30.0,0.0,0.0
484,2.84,48.77,25.17,23.22,0.0,0.0
485,2.84,48.77,25.17,23.22,0.0,0.0
486,0.0,51.62,24.16,24.22,0.0,0.0
487,0.0,51.62,24.16,24.22,0.0,0.0
488,12.85,38.77,24.19,24.19,0.0,0.0
489,15.63,38.14,22.05,24.19,0.0,0.0
490,0.03,52.6,20.41,26.96,0.0,0.0
491,0.02,52.85,20.17,26.96,0.0,0.0
492,15.45,37.37,23.46,23.72,0.0,0.0
493,34.53,18.29,23.46,23.72,0.0,0.0
494,34.2,18.62,25.62,21.57,0.0,0.0
495,34.2,18.62,25.62,21.57,0.0,0.0
496,34.2,12.23,32.01,21.57,0.0,0.0
497,34.2,12.23,32.01,21.57,0.0,0.0
498,32.42,12.56,33.65,21.37,0.0,0.0
499,31.75,12.93,32.82,22.5,0.0,0.0
500,30.94,12.87,30.96,25.17,0.05,0.0
501,30.94,12.87,30.04,26.1,0.05,0.0
502,30.94,11.11,31.35,26.54,0.05,0.0
503,23.15,17.49,32.76,26.54,0.05,0.0
504,6.77,22.76,42.31,27.02,1.14,0.0
505,4.82,27.51,46.06,20.47,1.14,0.0
506,7.19,26.44,47.27,17.95,1.14,0.0
507,7.19,25.06,48.65,17.95,1.14,0.0
508,6.73,24.79,49.38,17.95,1.14,0.0
509,6.75,24.76,49.38,17.95,1.14,0.0
510,6.64,24.89,49.38,17.95,1.14,0.0
511,6.64,23.78,47.6,20.83,1.14,0.0
512,11.94,18.65,47.44,20.83,1.14,0.0
513,11.95,18.64,47.14,21.12,1.14,0.0
514,11.95,18.97,46.82,21.12,1.14,0.0
515,11.74,19.13,46.82,21.17,1.14,0.0
516,11.74,18.97,46.53,21.61,1.14,0.0
517,11.74,18.82,46.39,21.9,1.14,0.0
518,11.3,19.49,45.91,23.01,0.29,0.0
519,11.3,24.86,40.53,23.02,0.29,0.0
520,11.64,24.55,40.49,23.02,0.29,0.0
521,11.64,24.55,40.2,23.32,0.29,0.0
522,11.64,24.55,36.96,26.56,0.29,0.0
523,15.88,24.38,36.81,22.92,0.0,0.0
524,15.88,24.38,36.81,22.92,0.0,0.0
525,15.88,24.35,36.85,22.92,0.0,0.0
526,15.89,24.6,36.74,22.76,0.0,0.0
527,15.89,24.6,36.91,22.6,0.0,0.0
528,15.89,25.22,36.3,22.6,0.0,0.0
529,15.89,25.22,36.3,22.6,0.0,0.0
530,15.89,25.22,36.3,22.6,0.0,0.0
531,15.89,25.22,36.3,22.6,0.0,0.0
532,15.89,25.22,36.3,22.6,0.0,0.0
533,15.89,25.22,37.75,21.14,0.0,0.0
534,15.84,25.19,37.83,21.14,0.0,0.0
535,15.84,23.93,37.36,22.87,0.0,0.0
536,15.84,23.93,33.88,26.35,0.0,0.0
537,4.89,13.64,32.48,49.0,0.0,0.0
538,3.54,14.45,35.75,46.25,0.0,0.0
539,2.22,8.16,43.36,46.25,0.0,0.0
540,2.22,8.17,49.47,40.14,0.0,0.0
541,0.11,9.75,44.42,45.73,0.0,0.0
542,4.39,20.38,59.22,16.02,0.0,0.0
543,4.39,23.53,56.07,16.02,0.0,0.0
544,4.77,27.47,62.7,5.06,0.0,0.0
545,10.37,30.57,59.06,0.0,0.0,0.0
546,10.37,30.57,59.06,0.0,0.0,0.0
547,11.09,31.58,57.33,0.0,0.0,0.0
548,19.12,39.65,41.23,0.0,0.0,0.0
549,18.74,34.92,43.23,3.1,0.0,0.0
550,19.1,34.56,43.23,3.1,0.0,0.0
551,29.91,23.75,46.34,0.0,0.0,0.0
552,33.91,60.67,5.41,0.0,0.0,0.0
553,71.58,28.42,0.0,0.0,0.0,0.0
554,74.32,25.68,0.0,0.0,0.0,0.0
555,82.53,17.47,0.0,0.0,0.0,0.0
556,88.32,11.68,0.0,0.0,0.0,0.0
557,88.42,11.58,0.0,0.0,0.0,0.0
558,88.42,11.58,0.0,0.0,0.0,0.0
559,88.51,11.49,0.0,0.0,0.0,0.0
560,89.22,10.78,0.0,0.0,0.0,0.0
561,89.25,10.75,0.0,0.0,0.0,0.0
562,89.25,10.75,0.0,0.0,0.0,0.0
563,89.25,10.75,0.0,0.0,0.0,0.0
564,89.25,10.75,0.0,0.0,0.0,0.0
565,89.14,10.86,0.0,0.0,0.0,0.0
566,89.14,10.86,0.0,0.0,0.0,0.0
567,87.36,12.64,0.0,0.0,0.0,0.0
568,87.55,12.45,0.0,0.0,0.0,0.0
569,92.14,7.86,0.0,0.0,0.0,0.0
570,92.12,7.88,0.0,0.0,0.0,0.0
571,92.12,7.88,0.0,0.0,0.0,0.0
572,85.34,14.66,0.0,0.0,0.0,0.0
573,85.34,14.66,0.0,0.0,0.0,0.0
574,85.34,14.66,0.0,0.0,0.0,0.0
575,85.34,14.66,0.0,0.0,0.0,0.0
576,87.87,12.13,0.0,0.0,0.0,0.0
577,87.71,12.29,0.0,0.0,0.0,0.0
578,87.71,12.29,0.0,0.0,0.0,0.0
579,99.99,0.01,0.0,0.0,0.0,0.0
580,99.99,0.01,0.0,0.0,0.0,0.0
581,99.99,0.01,0.0,0.0,0.0,0.0
582,99.99,0.01,0.0,0.0,0.0,0.0
583,99.99,0.01,0.0,0.0,0.0,0.0
584,99.99,0.01,0.0,0.0,0.0,0.0
585,99.99,0.01,0.0,0.0,0.0,0.0
586,99.99,0.01,0.0,0.0,0.0,0.0
587,99.99,0.01,0.0,0.0,0.0,0.0
588,99.99,0.01,0.0,0.0,0.0,0.0
589,99.99,0.01,0.0,0.0,0.0,0.0
590,99.99,0.01,0.0,0.0,0.0,0.0
591,99.94,0.06,0.0,0.0,0.0,0.0
592,96.87,3.13,0.0,0.0,0.0,0.0
593,94.2,5.8,0.0,0.0,0.0,0.0
594,94.2,5.8,0.0,0.0,0.0,0.0
595,99.94,0.06,0.0,0.0,0.0,0.0
596,99.94,0.06,0.0,0.0,0.0,0.0
597,77.34,22.66,0.0,0.0,0.0,0.0
598,77.34,22.66,0.0,0.0,0.0,0.0
599,99.94,0.06,0.0,0.0,0.0,0.0
600,99.94,0.06,0.0,0.0,0.0,0.0
601,99.94,0.06,0.0,0.0,0.0,0.0
602,99.93,0.07,0.0,0.0,0.0,0.0
603,98.62,1.38,0.0,0.0,0.0,0.0
604,98.62,1.38,0.0,0.0,0.0,0.0
605,94.86,5.14,0.0,0.0,0.0,0.0
606,79.56,19.19,1.25,0.0,0.0,0.0
607,78.93,18.93,2.14,0.0,0.0,0.0
608,81.67,15.92,2.41,0.0,0.0,0.0
609,90.14,7.45,2.41,0.0,0.0,0.0
610,90.14,5.24,4.43,0.19,0.0,0.0
611,90.14,5.24,4.43,0.19,0.0,0.0
612,90.14,5.24,4.43,0.19,0.0,0.0
613,90.14,5.24,4.43,0.19,0.0,0.0
614,88.08,5.86,5.83,0.24,0.0,0.0
615,88.08,5.86,5.83,0.24,0.0,0.0
616,85.44,6.48,7.84,0.24,0.0,0.0
617,85.44,6.48,7.84,0.24,0.0,0.0
618,85.44,6.48,7.84,0.24,0.0,0.0
619,85.44,6.48,7.84,0.24,0.0,0.0
620,85.44,6.48,7.84,0.24,0.0,0.0
621,85.44,6.48,7.84,0.24,0.0,0.0
622,85.44,6.48,7.84,0.24,0.0,0.0
623,85.44,6.48,7.84,0.24,0.0,0.0
624,85.44,6.48,7.84,0.24,0.0,0.0
625,85.44,6.48,7.84,0.24,0.0,0.0
626,87.46,4.47,7.84,0.24,0.0,0.0
