MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20220726,CA,0.00,0.22,2.31,37.66,47.07,12.74,2022-07-26,2022-08-01,2
20220719,CA,0.00,0.22,2.31,37.66,47.07,12.74,2022-07-19,2022-07-25,2
20220712,CA,0.00,0.20,2.31,37.67,47.07,12.74,2022-07-12,2022-07-18,2
20220705,CA,0.00,0.20,2.31,37.67,48.22,11.59,2022-07-05,2022-07-11,2
20220628,CA,0.00,0.21,2.31,37.67,48.22,11.59,2022-06-28,2022-07-04,2
20220621,CA,0.00,0.21,2.31,37.67,48.22,11.59,2022-06-21,2022-06-27,2
20220614,CA,0.00,0.21,2.31,37.67,48.22,11.59,2022-06-14,2022-06-20,2
20220607,CA,0.00,0.21,2.31,37.67,48.22,11.59,2022-06-07,2022-06-13,2
20220531,CA,0.00,0.14,2.30,37.75,48.22,11.59,2022-05-31,2022-06-06,2
20220524,CA,0.00,0.14,2.30,37.75,48.22,11.59,2022-05-24,2022-05-30,2
20220517,CA,0.00,0.14,4.73,35.32,59.64,0.18,2022-05-17,2022-05-23,2
20220510,CA,0.00,0.14,4.73,35.32,59.81,0.00,2022-05-10,2022-05-16,2
20220503,CA,0.00,0.00,4.82,54.67,40.51,0.00,2022-05-03,2022-05-09,2
20220426,CA,0.00,0.00,4.82,54.62,40.56,0.00,2022-04-26,2022-05-02,2
20220419,CA,0.00,0.00,4.82,54.37,40.81,0.00,2022-04-19,2022-04-25,2
20220412,CA,0.00,0.00,4.25,48.88,46.87,0.00,2022-04-12,2022-04-18,2
20220405,CA,0.00,0.00,6.35,52.97,40.67,0.00,2022-04-05,2022-04-11,2
20220329,CA,0.00,0.00,6.35,53.40,40.25,0.00,2022-03-29,2022-04-04,2
20220322,CA,0.00,0.00,6.35,55.95,37.69,0.00,2022-03-22,2022-03-28,2
20220315,CA,0.00,0.00,6.77,58.01,35.22,0.00,2022-03-15,2022-03-21,2
20220308,CA,0.00,0.00,13.02,74.16,12.82,0.00,2022-03-08,2022-03-14,2
20220301,CA,0.00,0.00,13.02,74.16,12.82,0.00,2022-03-01,2022-03-07,2
20220222,CA,0.00,0.00,31.23,62.07,6.70,0.00,2022-02-22,2022-02-28,2
20220215,CA,0.00,0.43,33.19,65.00,1.39,0.00,2022-02-15,2022-02-21,2
20220208,CA,0.00,0.75,32.86,65.00,1.39,0.00,2022-02-08,2022-02-14,2
20220201,CA,0.00,0.75,32.86,65.00,1.39,0.00,2022-02-01,2022-02-07,2
20220125,CA,0.00,0.75,32.86,65.00,1.39,0.00,2022-01-25,2022-01-31,2
20220118,CA,0.00,0.75,32.86,65.00,1.39,0.00,2022-01-18,2022-01-24,2
20220111,CA,0.00,0.75,32.86,65.00,1.39,0.00,2022-01-11,2022-01-17,2
20220104,CA,0.00,0.70,31.68,51.01,15.76,0.84,2022-01-04,2022-01-10,2
20211228,CA,0.00,0.00,13.72,53.35,32.10,0.84,2021-12-28,2022-01-03,2
20211221,CA,0.00,0.00,7.56,13.00,56.33,23.11,2021-12-21,2021-12-27,2
20211214,CA,0.00,0.00,7.57,12.15,52.01,28.27,2021-12-14,2021-12-20,2
20211207,CA,0.00,0.00,7.57,12.15,52.01,28.27,2021-12-07,2021-12-13,2
20211130,CA,0.00,0.00,7.57,12.15,52.01,28.27,2021-11-30,2021-12-06,2
20211123,CA,0.00,0.00,7.57,12.15,52.01,28.27,2021-11-23,2021-11-29,2
20211116,CA,0.00,0.00,7.57,12.15,42.66,37.62,2021-11-16,2021-11-22,2
20211109,CA,0.00,0.00,7.57,12.15,42.66,37.62,2021-11-09,2021-11-15,2
20211102,CA,0.00,0.00,6.19,10.48,44.59,38.74,2021-11-02,2021-11-08,2
20211026,CA,0.00,0.00,6.19,10.48,44.59,38.74,2021-10-26,2021-11-01,2
20211019,CA,0.00,0.00,6.19,6.63,41.52,45.66,2021-10-19,2021-10-25,2
20211012,CA,0.00,0.00,6.07,6.75,41.52,45.66,2021-10-12,2021-10-18,2
20211005,CA,0.00,0.00,6.07,6.05,42.22,45.66,2021-10-05,2021-10-11,2
20210928,CA,0.00,0.00,6.07,6.05,42.22,45.66,2021-09-28,2021-10-04,2
20210921,CA,0.00,0.00,6.07,6.05,42.22,45.66,2021-09-21,2021-09-27,2
20210914,CA,0.00,0.00,6.07,5.99,42.28,45.66,2021-09-14,2021-09-20,2
20210907,CA,0.00,0.00,6.07,5.99,42.28,45.66,2021-09-07,2021-09-13,2
20210831,CA,0.00,0.00,4.44,7.19,40.98,47.40,2021-08-31,2021-09-06,2
20210824,CA,0.00,0.00,4.42,7.21,40.98,47.40,2021-08-24,2021-08-30,2
20210817,CA,0.00,0.00,4.42,7.21,39.40,48.97,2021-08-17,2021-08-23,2
20210810,CA,0.00,0.00,4.93,6.69,41.28,47.10,2021-08-10,2021-08-16,2
20210803,CA,0.00,0.00,4.93,6.69,41.93,46.45,2021-08-03,2021-08-09,2
20210727,CA,0.00,0.00,4.91,6.50,42.10,46.49,2021-07-27,2021-08-02,2
20210720,CA,0.00,0.00,5.25,9.00,52.33,33.42,2021-07-20,2021-07-26,2
20210713,CA,0.00,0.00,5.25,9.02,52.41,33.32,2021-07-13,2021-07-19,2
20210706,CA,0.00,0.00,5.27,9.29,52.12,33.32,2021-07-06,2021-07-12,2
20210629,CA,0.00,0.00,5.27,9.29,52.12,33.32,2021-06-29,2021-07-05,2
20210622,CA,0.00,0.00,5.27,9.29,52.12,33.32,2021-06-22,2021-06-28,2
20210615,CA,0.00,0.00,5.25,9.31,52.12,33.32,2021-06-15,2021-06-21,2
20210608,CA,0.00,0.00,5.25,9.55,51.88,33.32,2021-06-08,2021-06-14,2
20210601,CA,0.00,0.00,5.39,20.15,48.41,26.04,2021-06-01,2021-06-07,2
20210525,CA,0.00,0.00,5.39,20.15,48.41,26.04,2021-05-25,2021-05-31,2
20210518,CA,0.00,0.00,5.69,20.98,57.42,15.91,2021-05-18,2021-05-24,2
20210511,CA,0.00,0.00,5.69,20.98,59.81,13.53,2021-05-11,2021-05-17,2
20210504,CA,0.00,2.48,4.63,19.58,67.94,5.36,2021-05-04,2021-05-10,2
20210427,CA,0.00,2.49,9.56,35.09,47.50,5.36,2021-04-27,2021-05-03,2
20210420,CA,0.00,3.46,11.17,35.51,44.50,5.36,2021-04-20,2021-04-26,2
20210413,CA,0.78,5.09,17.16,38.29,33.32,5.36,2021-04-13,2021-04-19,2
20210406,CA,0.77,6.58,22.97,34.27,30.06,5.36,2021-04-06,2021-04-12,2
20210330,CA,0.77,8.57,26.64,32.26,26.40,5.36,2021-03-30,2021-04-05,2
20210323,CA,0.70,8.64,26.64,32.26,26.40,5.36,2021-03-23,2021-03-29,2
20210316,CA,0.78,8.60,32.03,29.05,25.79,3.75,2021-03-16,2021-03-22,2
20210309,CA,0.75,8.36,32.30,29.05,25.79,3.75,2021-03-09,2021-03-15,2
20210302,CA,0.75,8.36,33.91,27.44,25.79,3.75,2021-03-02,2021-03-08,2
20210223,CA,0.70,14.41,27.90,27.44,25.79,3.75,2021-02-23,2021-03-01,2
20210216,CA,0.70,14.41,27.30,26.59,27.24,3.75,2021-02-16,2021-02-22,2
20210209,CA,0.64,14.26,27.23,26.46,27.66,3.75,2021-02-09,2021-02-15,2
20210202,CA,0.00,14.01,27.54,26.79,27.90,3.75,2021-02-02,2021-02-08,2
20210126,CA,0.00,4.80,19.46,36.28,35.60,3.86,2021-01-26,2021-02-01,2
20210119,CA,0.00,4.80,17.08,38.66,38.27,1.19,2021-01-19,2021-01-25,2
20210112,CA,0.00,4.80,16.10,39.60,38.31,1.19,2021-01-12,2021-01-18,2
20210105,CA,0.00,4.80,20.85,40.51,32.65,1.19,2021-01-05,2021-01-11,2
20201229,CA,0.00,4.83,20.82,40.59,32.56,1.19,2020-12-29,2021-01-04,2
20201222,CA,0.00,4.83,20.82,40.59,32.56,1.19,2020-12-22,2020-12-28,2
20201215,CA,0.00,4.83,20.82,40.59,32.56,1.19,2020-12-15,2020-12-21,2
20201208,CA,0.00,4.83,28.38,45.50,21.30,0.00,2020-12-08,2020-12-14,2
20201201,CA,3.46,21.51,26.84,28.83,19.36,0.00,2020-12-01,2020-12-07,2
20201124,CA,3.50,21.47,26.84,28.83,19.36,0.00,2020-11-24,2020-11-30,2
20201117,CA,15.61,13.47,29.66,25.42,15.83,0.00,2020-11-17,2020-11-23,2
20201110,CA,15.48,13.61,29.66,25.42,15.83,0.00,2020-11-10,2020-11-16,2
20201103,CA,15.48,16.98,31.93,22.87,12.74,0.00,2020-11-03,2020-11-09,2
20201027,CA,15.40,17.06,31.93,22.87,12.74,0.00,2020-10-27,2020-11-02,2
20201020,CA,15.40,17.06,31.93,22.87,12.74,0.00,2020-10-20,2020-10-26,2
20201013,CA,15.40,17.06,31.93,22.87,12.74,0.00,2020-10-13,2020-10-19,2
20201006,CA,15.40,17.06,31.93,22.87,12.74,0.00,2020-10-06,2020-10-12,2
20200929,CA,15.35,17.00,32.03,22.88,12.74,0.00,2020-09-29,2020-10-05,2
20200922,CA,15.62,17.29,31.82,31.88,3.39,0.00,2020-09-22,2020-09-28,2
20200915,CA,15.62,17.29,31.83,32.09,3.17,0.00,2020-09-15,2020-09-21,2
20200908,CA,20.45,25.37,21.21,29.93,3.04,0.00,2020-09-08,2020-09-14,2
20200901,CA,20.39,25.23,22.60,28.74,3.04,0.00,2020-09-01,2020-09-07,2
20200825,CA,20.55,25.07,22.49,28.84,3.04,0.00,2020-08-25,2020-08-31,2
20200818,CA,20.55,25.24,32.50,18.67,3.04,0.00,2020-08-18,2020-08-24,2
20200811,CA,33.74,15.87,28.67,18.67,3.04,0.00,2020-08-11,2020-08-17,2
20200804,CA,33.74,15.88,28.88,18.45,3.04,0.00,2020-08-04,2020-08-10,2
20200728,CA,40.34,9.28,28.88,18.45,3.04,0.00,2020-07-28,2020-08-03,2
20200721,CA,40.34,11.44,26.71,18.45,3.04,0.00,2020-07-21,2020-07-27,2
20200714,CA,40.38,11.43,26.69,19.05,2.45,0.00,2020-07-14,2020-07-20,2
20200707,CA,41.79,11.47,25.90,18.39,2.45,0.00,2020-07-07,2020-07-13,2
20200630,CA,41.79,11.47,25.90,18.39,2.45,0.00,2020-06-30,2020-07-06,2
20200623,CA,41.79,11.47,25.90,18.39,2.45,0.00,2020-06-23,2020-06-29,2
20200616,CA,41.79,11.47,25.90,18.39,2.45,0.00,2020-06-16,2020-06-22,2
20200609,CA,41.79,11.47,25.90,18.39,2.45,0.00,2020-06-09,2020-06-15,2
20200602,CA,41.80,11.53,25.83,17.87,2.97,0.00,2020-06-02,2020-06-08,2
20200526,CA,41.80,11.53,25.83,17.87,2.97,0.00,2020-05-26,2020-06-01,2
20200519,CA,41.80,11.53,25.83,17.87,2.97,0.00,2020-05-19,2020-05-25,2
20200512,CA,41.80,11.53,25.83,17.85,2.99,0.00,2020-05-12,2020-05-18,2
20200505,CA,41.80,15.33,23.31,15.62,3.94,0.00,2020-05-05,2020-05-11,2
20200428,CA,41.80,16.61,21.99,14.93,4.66,0.00,2020-04-28,2020-05-04,2
20200421,CA,41.80,22.50,16.11,14.93,4.66,0.00,2020-04-21,2020-04-27,2
20200414,CA,41.80,22.50,22.87,12.83,0.00,0.00,2020-04-14,2020-04-20,2
20200407,CA,32.29,24.40,42.02,1.30,0.00,0.00,2020-04-07,2020-04-13,2
20200331,CA,24.86,31.82,42.02,1.30,0.00,0.00,2020-03-31,2020-04-06,2
20200324,CA,24.86,34.72,39.12,1.30,0.00,0.00,2020-03-24,2020-03-30,2
20200317,CA,24.64,27.77,46.32,1.26,0.00,0.00,2020-03-17,2020-03-23,2
20200310,CA,21.50,30.41,48.09,0.00,0.00,0.00,2020-03-10,2020-03-16,2
20200303,CA,30.26,35.58,34.16,0.00,0.00,0.00,2020-03-03,2020-03-09,2
20200225,CA,30.26,46.40,23.34,0.00,0.00,0.00,2020-02-25,2020-03-02,2
20200218,CA,40.02,50.44,9.54,0.00,0.00,0.00,2020-02-18,2020-02-24,2
20200211,CA,53.85,36.61,9.54,0.00,0.00,0.00,2020-02-11,2020-02-17,2
20200204,CA,65.72,34.28,0.00,0.00,0.00,0.00,2020-02-04,2020-02-10,2
20200128,CA,65.72,34.28,0.00,0.00,0.00,0.00,2020-01-28,2020-02-03,2
20200121,CA,96.39,3.61,0.00,0.00,0.00,0.00,2020-01-21,2020-01-27,2
20200114,CA,96.39,3.61,0.00,0.00,0.00,0.00,2020-01-14,2020-01-20,2
20200107,CA,96.43,3.57,0.00,0.00,0.00,0.00,2020-01-07,2020-01-13,2
20191231,CA,96.43,3.57,0.00,0.00,0.00,0.00,2019-12-31,2020-01-06,2
20191224,CA,96.43,3.57,0.00,0.00,0.00,0.00,2019-12-24,2019-12-30,2
20191217,CA,96.43,3.57,0.00,0.00,0.00,0.00,2019-12-17,2019-12-23,2
20191210,CA,96.43,3.57,0.00,0.00,0.00,0.00,2019-12-10,2019-12-16,2
20191203,CA,14.74,85.25,0.01,0.00,0.00,0.00,2019-12-03,2019-12-09,2
20191126,CA,9.22,87.47,3.30,0.01,0.00,0.00,2019-11-26,2019-12-02,2
20191119,CA,18.55,77.86,3.58,0.01,0.00,0.00,2019-11-19,2019-11-25,2
20191112,CA,18.61,77.81,3.57,0.01,0.00,0.00,2019-11-12,2019-11-18,2
20191105,CA,82.26,15.68,2.06,0.00,0.00,0.00,2019-11-05,2019-11-11,2
20191029,CA,82.26,15.67,2.06,0.00,0.00,0.00,2019-10-29,2019-11-04,2
20191022,CA,82.26,15.67,2.06,0.00,0.00,0.00,2019-10-22,2019-10-28,2
20191015,CA,85.40,12.54,2.06,0.00,0.00,0.00,2019-10-15,2019-10-21,2
20191008,CA,95.29,2.64,2.06,0.00,0.00,0.00,2019-10-08,2019-10-14,2
20191001,CA,95.29,2.64,2.06,0.00,0.00,0.00,2019-10-01,2019-10-07,2
20190924,CA,89.73,8.21,2.06,0.00,0.00,0.00,2019-09-24,2019-09-30,2
20190917,CA,89.61,8.33,2.06,0.00,0.00,0.00,2019-09-17,2019-09-23,2
20190910,CA,90.94,7.96,1.09,0.01,0.00,0.00,2019-09-10,2019-09-16,2
20190903,CA,90.94,7.97,1.09,0.00,0.00,0.00,2019-09-03,2019-09-09,2
20190827,CA,90.94,7.96,1.09,0.00,0.00,0.00,2019-08-27,2019-09-02,2
20190820,CA,93.27,6.73,0.00,0.00,0.00,0.00,2019-08-20,2019-08-26,2
20190813,CA,94.07,5.93,0.00,0.00,0.00,0.00,2019-08-13,2019-08-19,2
20190806,CA,95.55,4.45,0.00,0.00,0.00,0.00,2019-08-06,2019-08-12,2
20190730,CA,95.68,4.32,0.00,0.00,0.00,0.00,2019-07-30,2019-08-05,2
20190723,CA,95.68,4.32,0.00,0.00,0.00,0.00,2019-07-23,2019-07-29,2
20190716,CA,95.68,4.32,0.00,0.00,0.00,0.00,2019-07-16,2019-07-22,2
20190709,CA,95.68,4.32,0.00,0.00,0.00,0.00,2019-07-09,2019-07-15,2
20190702,CA,95.68,4.32,0.00,0.00,0.00,0.00,2019-07-02,2019-07-08,2
20190625,CA,95.68,4.32,0.00,0.00,0.00,0.00,2019-06-25,2019-07-01,2
20190618,CA,95.68,4.32,0.00,0.00,0.00,0.00,2019-06-18,2019-06-24,2
20190611,CA,95.68,4.32,0.00,0.00,0.00,0.00,2019-06-11,2019-06-17,2
20190604,CA,95.68,4.32,0.00,0.00,0.00,0.00,2019-06-04,2019-06-10,2
20190528,CA,94.03,5.97,0.00,0.00,0.00,0.00,2019-05-28,2019-06-03,2
20190521,CA,94.03,5.97,0.00,0.00,0.00,0.00,2019-05-21,2019-05-27,2
20190514,CA,94.03,5.97,0.00,0.00,0.00,0.00,2019-05-14,2019-05-20,2
20190507,CA,94.03,5.97,0.00,0.00,0.00,0.00,2019-05-07,2019-05-13,2
20190430,CA,94.03,5.97,0.00,0.00,0.00,0.00,2019-04-30,2019-05-06,2
20190423,CA,94.03,5.97,0.00,0.00,0.00,0.00,2019-04-23,2019-04-29,2
20190416,CA,94.03,5.97,0.00,0.00,0.00,0.00,2019-04-16,2019-04-22,2
20190409,CA,94.03,5.97,0.00,0.00,0.00,0.00,2019-04-09,2019-04-15,2
20190402,CA,93.42,6.58,0.00,0.00,0.00,0.00,2019-04-02,2019-04-08,2
20190326,CA,93.42,6.58,0.00,0.00,0.00,0.00,2019-03-26,2019-04-01,2
20190319,CA,93.42,6.58,0.00,0.00,0.00,0.00,2019-03-19,2019-03-25,2
20190312,CA,93.42,6.58,0.00,0.00,0.00,0.00,2019-03-12,2019-03-18,2
20190305,CA,89.84,9.56,0.60,0.00,0.00,0.00,2019-03-05,2019-03-11,2
20190226,CA,87.17,10.50,2.33,0.00,0.00,0.00,2019-02-26,2019-03-04,2
20190219,CA,67.07,29.16,2.40,1.36,0.00,0.00,2019-02-19,2019-02-25,2
20190212,CA,36.77,52.68,8.92,1.63,0.00,0.00,2019-02-12,2019-02-18,2
20190205,CA,34.37,55.08,8.67,1.89,0.00,0.00,2019-02-05,2019-02-11,2
20190129,CA,23.93,52.41,21.77,1.89,0.00,0.00,2019-01-29,2019-02-04,2
20190122,CA,7.77,20.00,68.79,2.73,0.71,0.00,2019-01-22,2019-01-28,2
20190115,CA,7.77,17.06,69.62,4.83,0.71,0.00,2019-01-15,2019-01-21,2
20190108,CA,7.77,17.06,61.05,12.57,1.55,0.00,2019-01-08,2019-01-14,2
20190101,CA,7.77,17.06,61.05,12.01,2.10,0.00,2019-01-01,2019-01-07,2
20181225,CA,7.77,17.06,58.92,14.14,2.10,0.00,2018-12-25,2018-12-31,2
20181218,CA,7.77,17.06,58.29,14.77,2.10,0.00,2018-12-18,2018-12-24,2
20181211,CA,7.77,17.06,58.29,14.77,2.10,0.00,2018-12-11,2018-12-17,2
20181204,CA,7.77,12.54,61.36,14.55,3.78,0.00,2018-12-04,2018-12-10,2
20181127,CA,0.00,16.34,65.32,14.55,3.78,0.00,2018-11-27,2018-12-03,2
20181120,CA,0.00,22.38,59.26,14.58,3.78,0.00,2018-11-20,2018-11-26,2
20181113,CA,0.00,46.80,34.84,15.97,2.39,0.00,2018-11-13,2018-11-19,2
20181106,CA,0.00,48.08,33.56,15.97,2.39,0.00,2018-11-06,2018-11-12,2
20181030,CA,15.16,36.90,28.64,16.57,2.73,0.00,2018-10-30,2018-11-05,2
20181023,CA,15.16,36.90,28.64,16.57,2.73,0.00,2018-10-23,2018-10-29,2
20181016,CA,15.16,36.90,25.17,19.90,2.87,0.00,2018-10-16,2018-10-22,2
20181009,CA,15.16,36.90,25.17,17.90,4.87,0.00,2018-10-09,2018-10-15,2
20181002,CA,12.18,39.85,25.15,17.89,4.93,0.00,2018-10-02,2018-10-08,2
20180925,CA,12.18,39.85,25.15,17.88,4.94,0.00,2018-09-25,2018-10-01,2
20180918,CA,12.18,39.85,25.15,17.88,4.94,0.00,2018-09-18,2018-09-24,2
20180911,CA,12.18,39.85,25.15,17.88,4.94,0.00,2018-09-11,2018-09-17,2
20180904,CA,13.79,38.64,24.69,20.12,2.77,0.00,2018-09-04,2018-09-10,2
20180828,CA,13.79,38.64,26.53,18.28,2.77,0.00,2018-08-28,2018-09-03,2
20180821,CA,13.79,39.02,26.44,17.99,2.77,0.00,2018-08-21,2018-08-27,2
20180814,CA,13.84,38.97,26.44,17.99,2.77,0.00,2018-08-14,2018-08-20,2
20180807,CA,13.83,41.12,24.29,17.99,2.77,0.00,2018-08-07,2018-08-13,2
